datap,median,total,size,clade,numtaxa
Leardi_et_Pol_2009a.nex,0.415384615,0.421730769,260,Non_dinosaur_archosauro,1
Muller_etal_2018ca.nex,0.561538462,0.504700855,260,Non_dinosaur_archosauro,1
Bronzati_etal_2019aa.nex,0.575289575,0.49017589,259,Dinosaurs,1
Muller_etal_2018dc.nex,0.567567568,0.483523391,259,Dinosaurs,1
Pacheco_etal_2019a.nex,0.583011583,0.512771013,259,Dinosaurs,1
Maga_et_Beck_2017a.nex,0.140926641,0.258880309,259,Marsupials,1
Gatesy_et_Amato_1992a.nex,0,0,259,Non_dinosaur_archosauro,0
Long_etal_2015ab.nex,0.478764479,0.454410454,259,Non_osteichthyan_vertebrates,1
Qiao_etal_2016aa.nex,0.671814672,0.626628198,259,Non_osteichthyan_vertebrates,1
Qiao_etal_2016ab.nex,0.671814672,0.62289448,259,Non_osteichthyan_vertebrates,1
Marsola_etal_2018ab.nex,0.558139535,0.487667371,258,Dinosaurs,1
Rozadilla_etal_2019a.nex,0.65503876,0.579429278,258,Dinosaurs,1
Beck_etal_2014aa.nex,0.083333333,0.231844145,258,Marsupials,1
Beck_etal_2014ab.nex,0.083333333,0.228478172,258,Marsupials,1
Buono_etal_2017a.nex,0.338521401,0.341055108,257,Cetaceans,1
Tanaka_etal_2020a.nex,0.315175097,0.317980273,257,Cetaceans,1
Arbour_et_Evans_2019ab.nex,0.464980545,0.511951084,257,Dinosaurs,1
Garcia_etal_2019aa.nex,0.560311284,0.495666785,257,Dinosaurs,1
Lee_etal_2019a.nex,0.583657588,0.555308505,257,Dinosaurs,1
Lu_etal_2017b.nex,0.626459144,0.600518807,257,Dinosaurs,1
Morschhauser_etal_2018a.nex,0.464980545,0.505002779,257,Dinosaurs,1
Ryan_etal_2023a.nex,0.470817121,0.522939101,257,Dinosaurs,1
Son_etal_2022aa.nex,0.464980545,0.50889383,257,Dinosaurs,1
Xu_et_Wang_2004a.nex,0.614785992,0.537743191,257,Dinosaurs,1
Xu_et_Zhang_2005a.nex,0.618677043,0.554150454,257,Dinosaurs,1
Baron_et_Williams_2018ab.nex,0.571984436,0.508084738,257,Non_dinosaur_archosauro,1
Gasparini_etal_2006a.nex,0.404669261,0.411659962,257,Non_dinosaur_archosauro,1
Pol_et_Gasparini_2009a.nex,0.404669261,0.411528062,257,Non_dinosaur_archosauro,1
Ristevski_etal_2023a.nex,0.404669261,0.403303528,257,Non_dinosaur_archosauro,0.940397351
Soto_etal_2011a.nex,0.40077821,0.408032711,257,Non_dinosaur_archosauro,1
Cadena_2015a.nex,0.505836576,0.444558805,257,Turtles,1
Gentry_2018a.nex,0.200389105,0.264730406,257,Turtles,1
Becerra_etal_2016aa.nex,0.42578125,0.39453125,256,Dinosaurs,1
Becerra_etal_2016ab.nex,0.42578125,0.385465802,256,Dinosaurs,1
Cabreira_etal_2016a.nex,0.5625,0.485192587,256,Dinosaurs,1
Griffin_etal_2022ab.nex,0.556640625,0.484197443,256,Dinosaurs,1
Muller_etal_2017a.nex,0.56640625,0.49662642,256,Dinosaurs,1
Muller_etal_2018da.nex,0.5546875,0.486827762,256,Dinosaurs,1
Muller_etal_2018db.nex,0.5546875,0.480650436,256,Dinosaurs,1
Nesbitt_etal_2011a.nex,0.60546875,0.54962588,256,Dinosaurs,1
Cadena_et_Parham_2015a.nex,0.5078125,0.444678369,256,Turtles,1
Gentry_etal_2018a.nex,0.1328125,0.238620924,256,Turtles,1
Myers_etal_2018a.nex,0.453125,0.398109879,256,Turtles,1
Augustin_etal_2022ab.nex,0.680392157,0.61001032,255,Dinosaurs,1
Barta_et_Norell_2021aa.nex,0.682352941,0.617623435,255,Dinosaurs,1
Barta_et_Norell_2021ab.nex,0.678431373,0.603346405,255,Dinosaurs,1
Barta_et_Norell_2021ac.nex,0.682352941,0.611294118,255,Dinosaurs,1
Bell_etal_2018a.nex,0.682352941,0.621848739,255,Dinosaurs,1
Boyd_2015a.nex,0.666666667,0.588355958,255,Dinosaurs,1
Cerny_etal_2022ac.nex,0.684313725,0.615485168,255,Dinosaurs,1
Herne_etal_2018aa.nex,0.678431373,0.600117062,255,Dinosaurs,1
Herne_etal_2018ab.nex,0.67254902,0.593582888,255,Dinosaurs,1
Madzia_etal_2018aa.nex,0.678431373,0.614326797,255,Dinosaurs,1
Manitkoon_etal_2023a.nex,0.680392157,0.609351433,255,Dinosaurs,1
Raven_et_Maidment_2018ac.nex,0.666666667,0.591929525,255,Dinosaurs,1
Rotatori_etal_2020ab.nex,0.707843137,0.642324247,255,Dinosaurs,1
Rotatori_etal_2022aa.nex,0.688235294,0.624836601,255,Dinosaurs,1
Salgado_etal_2017ac.nex,0.67254902,0.590136661,255,Dinosaurs,1
Voris_etal_2019a.nex,0.456862745,0.466435986,255,Dinosaurs,1
Zanno_etal_2023aa.nex,0.688235294,0.611161388,255,Dinosaurs,1
Dupret_etal_2014a.nex,0.674509804,0.613700025,255,Non_osteichthyan_vertebrates,1
Long_etal_2015aa.nex,0.439215686,0.426636109,255,Non_osteichthyan_vertebrates,1
Chavez_Hoffmeister_etal_2014a.nex,0.440944882,0.475646794,254,Bird,1
Atterholt_etal_2018a.nex,0.565217391,0.541134295,253,Dinosaurs,1
Bailleul_etal_2019a.nex,0.549407115,0.52409185,253,Dinosaurs,1
Ezcurra_et_Novas_2007a.nex,0.270750988,0.346305868,253,Dinosaurs,1
Franca_etal_2016a.nex,0.579051383,0.534443817,253,Dinosaurs,1
Qiu_etal_2019aa.nex,0.624505929,0.576771055,253,Dinosaurs,1
Xing_etal_2019a.nex,0.571146245,0.548418972,253,Dinosaurs,1
Zhu_etal_2013a.nex,0.679841897,0.614756258,253,Non_osteichthyan_vertebrates,1
Dalman_etal_2021a.nex,0.396825397,0.427897574,252,Dinosaurs,1
Sekiya_2011aa.nex,0.507936508,0.452075702,252,Dinosaurs,1
Yates_2005a.nex,0.492063492,0.466727717,252,Dinosaurs,0.974358974
Holliday_et_Gardner_2012aa.nex,0.281746032,0.346472663,252,Non_dinosaur_archosauro,1
Pinheiro_etal_2016a.nex,0.333333333,0.404374758,252,Non_dinosaur_archosauro,1
Pinheiro_etal_2020aa.nex,0.333333333,0.401664731,252,Non_dinosaur_archosauro,1
Sereno_et_Larsson_2009a.nex,0.257936508,0.325027685,252,Non_dinosaur_archosauro,1
Wilberg_2015bb.nex,0.257936508,0.325661376,252,Non_dinosaur_archosauro,1
Csiki_etal_2010a.nex,0.597609562,0.542003415,251,Dinosaurs,1
Novas_etal_2009a.nex,0.597609562,0.543027888,251,Dinosaurs,1
Prieto-Marquez_etal_2012b.nex,0.565737052,0.523735566,251,Dinosaurs,1
Turner_etal_2007a.nex,0.565737052,0.517790905,251,Dinosaurs,1
Turner_etal_2007b.nex,0.597609562,0.539292107,251,Dinosaurs,1
Xu_etal_2007aa.nex,0.565737052,0.521169559,251,Dinosaurs,1
Drymala_et_Zanno_2016a.nex,0.326693227,0.401321543,251,Non_dinosaur_archosauro,1
Fanti_etal_2016a.nex,0.553784861,0.544621514,251,Non_dinosaur_archosauro,1
Young_2014a.nex,0.517928287,0.517450199,251,Non_dinosaur_archosauro,1
Young_etal_2013b.nex,0.515936255,0.51200603,251,Non_dinosaur_archosauro,1
Cullen_etal_2021a.nex,0.668,0.603428571,250,Dinosaurs,1
Funston_et_Currie_2016a.nex,0.644,0.595121951,250,Dinosaurs,1
Pu_etal_2017a.nex,0.616,0.565684211,250,Dinosaurs,1
Lu_etal_2016d.nex,0.33,0.377857143,250,Rodents,1
Albert_2001a.nex,0.0562249,0.105786783,249,Actinopterygians,1
Bisconti_2015a.nex,0.375502008,0.357429719,249,Cetaceans,1
Carballido_et_Pol_2010a.nex,0.534136546,0.489200043,249,Dinosaurs,1
Carballido_etal_2011b.nex,0.570281124,0.526818385,249,Dinosaurs,1
Hu_etal_2015a.nex,0.572289157,0.566588936,249,Dinosaurs,1
OConnor_et_Zelenkov_2013a.nex,0.614919355,0.591040827,248,Dinosaurs,1
OConnor_etal_2014ab.nex,0.614919355,0.591040827,248,Dinosaurs,1
Lee_2009a.nex,0.120967742,0.164170507,248,Squamata,1
Mayr_etal_2017bb.nex,0.67611336,0.559304244,247,Bird,1
Lee_etal_2014b.nex,0.603238866,0.56194332,247,Dinosaurs,1
Zhou_etal_2014c.nex,0.582995951,0.563889481,247,Dinosaurs,1
Nesbitt_etal_2015a.nex,0.208502024,0.296626181,247,Non_dinosaur_archosauro,1
Stocker_etal_2016a.nex,0.170040486,0.295546559,247,Non_dinosaur_archosauro,1
Mayr_etal_2017c.nex,0.481707317,0.421691509,246,Bird,1
Bisconti_2010a.nex,0.363821138,0.331893631,246,Cetaceans,1
Bisconti_et_Bosselaers_2016a.nex,0.380081301,0.342010632,246,Cetaceans,1
Bisconti_etal_2013a.nex,0.347560976,0.327059031,246,Cetaceans,1
Averianov_etal_2024a.nex,0.817073171,0.683519648,246,Dinosaurs,1
Baiano_etal_2023a.nex,0.817073171,0.676652527,246,Dinosaurs,1
Canudo_etal_2008a.nex,0.550813008,0.487804878,246,Dinosaurs,1
Gorscak_etal_2014a.nex,0.552845528,0.47398374,246,Dinosaurs,1
Hocknull_etal_2009aa.nex,0.573170732,0.51126597,246,Dinosaurs,1
Hu_etal_2014a.nex,0.601626016,0.570038651,246,Dinosaurs,1
Martinez_etal_2016ac.nex,0.512195122,0.461788618,246,Dinosaurs,1
Martinez_etal_2016ad.nex,0.495934959,0.413279133,246,Dinosaurs,1
OConnor_etal_2013a.nex,0.591463415,0.569105691,246,Dinosaurs,1
OConnor_etal_2014aa.nex,0.615853659,0.591590447,246,Dinosaurs,1
OConnor_etal_2016a.nex,0.556910569,0.557426765,246,Dinosaurs,1
OConnor_etal_2016b.nex,0.617886179,0.595464939,246,Dinosaurs,1
Wilson_etal_2016b.nex,0.495934959,0.449987682,246,Dinosaurs,1
Yu_etal_2018ab.nex,0.707317073,0.619869126,246,Dinosaurs,1
Zaher_etal_2011a.nex,0.495934959,0.452944075,246,Dinosaurs,1
Zheng_etal_2018b.nex,0.569105691,0.561749903,246,Dinosaurs,1
Ruta_2009a.nex,0.256097561,0.288690476,246,Non_amniote_tetrapods,1
Ksepka_etal_2012a.nex,0.387755102,0.417878701,245,Bird,1
Mayr_etal_2017ba.nex,0.483673469,0.420124717,245,Bird,1
Carvalho_etal_2015a.nex,0.612244898,0.57370358,245,Dinosaurs,1
OConnor_et_Zhou_2013a.nex,0.608163265,0.57244898,245,Dinosaurs,1
OConnor_etal_2011a.nex,0.608163265,0.56749811,245,Dinosaurs,1
OConnor_etal_2016c.nex,0.606122449,0.572876893,245,Dinosaurs,1
Pol_etal_2024a.nex,0.812244898,0.676508901,245,Dinosaurs,1
Wang_etal_2013c.nex,0.616326531,0.587236799,245,Dinosaurs,1
Wang_etal_2014c.nex,0.571428571,0.56018618,245,Dinosaurs,1
Wang_etal_2014e.nex,0.542857143,0.524081633,245,Dinosaurs,1
Wang_etal_2016c.nex,0.616326531,0.58632977,245,Dinosaurs,1
Beck_etal_2008a.nex,0.081632653,0.198886827,245,Marsupials,1
Horovitz_etal_2008a.nex,0.159183673,0.202040816,245,Marsupials,1
Sanchez-Villagra_etal_2007a.nex,0.175510204,0.215816327,245,Marsupials,1
Ruta_et_Bolt_2006a.nex,0.263265306,0.294179894,245,Non_amniote_tetrapods,1
Fiorelli_et_Calvo_2008aa.nex,0.408163265,0.412793177,245,Non_dinosaur_archosauro,1
Fiorelli_et_Calvo_2008ab.nex,0.4,0.407985803,245,Non_dinosaur_archosauro,1
Berman_etal_2020a.nex,0.52244898,0.524160632,245,Non_mammal_synapsid,1
Brocklehurst_et_Frobisch_2018aa.nex,0.52244898,0.519795918,245,Non_mammal_synapsid,1
Maddin_etal_2020a.nex,0.526530612,0.525393108,245,Non_mammal_synapsid,1
Lopez-Conde_etal_2017a.nex,0.383673469,0.419142857,245,Turtles,1
Brocklehurst_et_Frobisch_2017aa.nex,0.520491803,0.519877049,244,Non_mammal_synapsid,1
Brocklehurst_etal_2016a.nex,0.520491803,0.505299604,244,Non_mammal_synapsid,1
Maho_etal_2019a.nex,0.520491803,0.504584607,244,Non_mammal_synapsid,1
Joyce_etal_2016c.nex,0.282786885,0.327313143,244,Turtles,0.906779661
Perez-Garcia_2020a.nex,0.266393443,0.326051319,244,Turtles,0.904347826
Perez-Garcia_et_Codrea_2018ab.nex,0.254098361,0.319309444,244,Turtles,0.902654867
Mayr_2015a.nex,0.283950617,0.264170981,243,Bird,1
Apaldetti_etal_2014ac.nex,0.353909465,0.375910098,243,Dinosaurs,0.980769231
Gates_et_Scheetz_2015ab.nex,0.393004115,0.378436214,243,Dinosaurs,1
Ksepka_et_Norell_2010a.nex,0.555555556,0.51824417,243,Dinosaurs,1
Lu_etal_2013c.nex,0.580246914,0.523438898,243,Dinosaurs,1
You_etal_2006a.nex,0.485596708,0.45308642,243,Dinosaurs,1
Bell_etal_2010a.nex,0.409090909,0.379132231,242,Dinosaurs,1
Farke_et_Patel_2012a.nex,0.555785124,0.511937557,242,Dinosaurs,1
Gao_etal_2008a.nex,0.400826446,0.34600551,242,Dinosaurs,1
James_et_Pourtless_2009aa.nex,0.421487603,0.430379747,242,Dinosaurs,1
James_et_Pourtless_2009ab.nex,0.421487603,0.430379747,242,Dinosaurs,1
Ji_etal_2011a.nex,0.553719008,0.498372151,242,Dinosaurs,1
Kurochkin_etal_2011a.nex,0.553719008,0.484887839,242,Dinosaurs,1
OConnor_etal_2009a.nex,0.44214876,0.43830151,242,Dinosaurs,1
OConnor_etal_2010a.nex,0.446280992,0.438705234,242,Dinosaurs,1
Wang_etal_2014a.nex,0.477272727,0.468233471,242,Dinosaurs,1
You_etal_2010a.nex,0.555785124,0.514827419,242,Dinosaurs,1
Mondejar-Fernandez_inpressa.nex,0.340909091,0.38908221,242,Fish_sarcopterygians,1
Sweetman_etal_2015a.nex,0.237603306,0.266873278,242,Non_dinosaur_archosauro,1
Santucci_et_Arruda-Campos_2011a.nex,0.560165975,0.514522822,241,Dinosaurs,1
Perea_etal_2014a.nex,0.387966805,0.425636645,241,Turtles,1
Silcox_etal_2010a.nex,0.120833333,0.218014706,240,Meso_mammals,1
Herrera_etal_2015a.nex,0.495833333,0.5035,240,Non_dinosaur_archosauro,1
Martin_et_Vincent_2013a.nex,0.495833333,0.500342466,240,Non_dinosaur_archosauro,1
Parrilla-Bel_etal_2013a.nex,0.495833333,0.504786036,240,Non_dinosaur_archosauro,1
Young_etal_2012a.nex,0.495833333,0.505079909,240,Non_dinosaur_archosauro,1
Begun_etal_1997a.nex,0.1625,0.238690476,240,Primates,0.714285714
Bloch_etal_2016a.nex,0.11875,0.215931373,240,Primates,1
Chester_etal_2015ac.nex,0.120833333,0.216176471,240,Primates,1
Chester_etal_2017a.nex,0.095833333,0.19,240,Primates,1
Silcox_etal_inpressa.nex,0.11875,0.215931373,240,Primates,1
Perez-Garcia_et_Codrea_2018aa.nex,0.258333333,0.318382353,240,Turtles,0.941176471
Sterli_etal_2015a.nex,0.389583333,0.422671569,240,Turtles,1
Sterli_etal_inpressa.nex,0.266666667,0.315635314,240,Turtles,0.940594059
Rozadilla_etal_2016a.nex,0.481171548,0.457131989,239,Dinosaurs,1
Tanaka_etal_2018b.nex,0.221757322,0.310574363,239,Dinosaurs,1
Clack_et_Finney_2005aa.nex,0.217573222,0.22556105,239,Fish_sarcopterygians,1
Clack_et_Finney_2005ab.nex,0.242677824,0.253556485,239,Fish_sarcopterygians,1
Li_etal_2004ab.nex,0.129707113,0.25209205,239,Non_dinosaur_archosauro,1
Rieppel_etal_2003bb.nex,0.09623431,0.245746165,239,Non_dinosaur_archosauro,1
Benson_2012a.nex,0.514644351,0.491829162,239,Non_mammal_synapsid,1
Reisz_et_Frobisch_2014ac.nex,0.516736402,0.494421199,239,Non_mammal_synapsid,1
Lovelace_etal_2007a.nex,0.550420168,0.447924624,238,Dinosaurs,1
Novas_etal_2008a.nex,0.575630252,0.528699615,238,Dinosaurs,1
Jouve_etal_2015a.nex,0.346638655,0.364654953,238,Non_dinosaur_archosauro,0.939393939
Rabi_etal_2013a.nex,0.386554622,0.4219518,238,Turtles,1
Rabi_etal_2014a.nex,0.386554622,0.421872523,238,Turtles,1
Lang_et_Mahammed_2010a.nex,0.523206751,0.476360489,237,Dinosaurs,1
Lu_etal_2016a.nex,0.64556962,0.601805515,237,Dinosaurs,1
Rauhut_2006a.nex,0.46835443,0.449843474,237,Dinosaurs,1
Caldwell_etal_2015a.nex,0.143459916,0.344786016,237,Squamata,1
Barco_etal_2006a.nex,0.461864407,0.428389831,236,Dinosaurs,1
Gallina_etal_2014ab.nex,0.444915254,0.381961259,236,Dinosaurs,1
Makovicky_etal_2005aa.nex,0.56779661,0.521040327,236,Dinosaurs,1
Makovicky_etal_2005ab.nex,0.563559322,0.512711864,236,Dinosaurs,1
Norell_etal_2006aa.nex,0.56779661,0.511448112,236,Dinosaurs,1
OConnor_etal_2010b.nex,0.36440678,0.39022285,236,Non_dinosaur_archosauro,1
Giles_etal_2015a.nex,0.620762712,0.588005215,236,Non_osteichthyan_vertebrates,1
Allain_etal_2004a.nex,0.463829787,0.427728209,235,Dinosaurs,1
Baiano_etal_2022a.nex,0.791489362,0.659277585,235,Dinosaurs,1
Remes_etal_2009a.nex,0.408510638,0.367629179,235,Dinosaurs,0.964285714
Sterli_etal_2013a.nex,0.378723404,0.414340426,235,Turtles,1
Andrzejewski_etal_2019a.nex,0.33974359,0.382307692,234,Dinosaurs,1
Barco_2005a.nex,0.465811966,0.432051282,234,Dinosaurs,1
Benito_etal_2022aa.nex,0.504273504,0.491863905,234,Dinosaurs,1
Benito_etal_2022ab.nex,0.478632479,0.435693936,234,Dinosaurs,1
Csiki_etal_2010ba.nex,0.465811966,0.43034188,234,Dinosaurs,1
Harris_et_Dodson_2004a.nex,0.47008547,0.427763992,234,Dinosaurs,1
Ksepka_et_Norell_2006a.nex,0.465811966,0.433475783,234,Dinosaurs,1
Lu_etal_2007a.nex,0.465811966,0.432336182,234,Dinosaurs,1
Mannion_2011aa.nex,0.465811966,0.433760684,234,Dinosaurs,1
Mateus_etal_2011aa.nex,0.465811966,0.433048433,234,Dinosaurs,1
Novas_etal_2013ab.nex,0.61965812,0.569135802,234,Dinosaurs,1
OLeary_etal_2004ab.nex,0.465811966,0.435042735,234,Dinosaurs,1
Osi_etal_2012ab.nex,0.457264957,0.443633952,234,Dinosaurs,1
Remes_2006a.nex,0.506410256,0.435229701,234,Dinosaurs,1
Royo-Torres_et_Upchurch_2012aa.nex,0.478632479,0.431054131,234,Dinosaurs,1
Royo-Torres_etal_2009a.nex,0.506410256,0.443776709,234,Dinosaurs,1
Royo-Torres_etal_2012aa.nex,0.47008547,0.434932451,234,Dinosaurs,1
Royo-Torres_etal_2012ab.nex,0.465811966,0.421509972,234,Dinosaurs,1
Royo-Torres_etal_2014aa.nex,0.555555556,0.462693463,234,Dinosaurs,1
Rubilar-Rogers_etal_2012a.nex,0.465811966,0.433760684,234,Dinosaurs,1
Sander_etal_2006aa.nex,0.457264957,0.409116809,234,Dinosaurs,1
Santucci_2008aa.nex,0.47008547,0.451337193,234,Dinosaurs,1
Suteethorn_etal_2010a.nex,0.461538462,0.424317618,234,Dinosaurs,1
Torres_etal_2021a.nex,0.572649573,0.581980057,234,Dinosaurs,1
Tschopp_et_Mateus_2013a.nex,0.446581197,0.392551893,234,Dinosaurs,1
Upchurch_et_Mannion_2009aa.nex,0.465811966,0.434900285,234,Dinosaurs,1
Wilson_2002a.nex,0.461538462,0.417035072,234,Dinosaurs,1
Wilson_et_Upchurch_2009aa.nex,0.47008547,0.41821397,234,Dinosaurs,1
Yang_2013ab.nex,0.371794872,0.344729345,234,Dinosaurs,0.833333333
Zhou_etal_2018a.nex,0.478632479,0.423361823,234,Dinosaurs,1
Hastings_etal_2015ab.nex,0.252136752,0.285539857,234,Non_dinosaur_archosauro,1
Iori_et_Carvalho_2011a.nex,0.414529915,0.421911422,234,Non_dinosaur_archosauro,1
Iori_etal_2013a.nex,0.427350427,0.43220339,234,Non_dinosaur_archosauro,1
Jouve_etal_2006a.nex,0.247863248,0.278050555,234,Non_dinosaur_archosauro,1
Novas_etal_2009b.nex,0.376068376,0.415367857,234,Non_dinosaur_archosauro,1
Scanlon_et_Lee_2000a.nex,0.055555556,0.122303622,234,Squamata,1
Benson_etal_2010a.nex,0.618025751,0.568621841,233,Dinosaurs,1
Brusatte_etal_2012a.nex,0.637339056,0.576320209,233,Dinosaurs,1
Ortega_etal_2010a.nex,0.60944206,0.568482926,233,Dinosaurs,1
Rauhut_etal_2012bc.nex,0.60944206,0.564844187,233,Dinosaurs,1
Hutchinson_etal_2012aa.nex,0.087982833,0.172746781,233,Squamata,1
Kirkland_etal_2005a.nex,0.595238095,0.537468279,231,Dinosaurs,1
Abello_et_Candela_2010a.nex,0.069264069,0.173160173,231,Marsupials,1
Fiorelli_et_Calvo_2007a.nex,0.415584416,0.406417112,231,Non_dinosaur_archosauro,1
Coria_etal_2013a.nex,0.441304348,0.423411371,230,Dinosaurs,1
Lamanna_etal_2014a.nex,0.72173913,0.615588547,230,Dinosaurs,1
Lu_etal_2015b.nex,0.676086957,0.605279503,230,Dinosaurs,1
Pol_etal_2011b.nex,0.413043478,0.415686275,230,Dinosaurs,1
Rose_2007a.nex,0.534782609,0.46112532,230,Dinosaurs,1
Tsuihiji_etal_2017a.nex,0.72173913,0.612937434,230,Dinosaurs,1
Horovitz_et_Sanchez-Villagra_2003a.nex,0.043478261,0.139691445,230,Marsupials,1
Pol_et_Apesteguia_2005a.nex,0.397826087,0.413565217,230,Non_dinosaur_archosauro,1
Evans_etal_2005ab.nex,0.067391304,0.219836957,230,Squamata,1
Lee_1998a.nex,0.054347826,0.117056856,230,Squamata,1
McLachlan_etal_2017a.nex,0.613537118,0.577601892,229,Dinosaurs,1
Baron_etal_2017c.nex,0.429824561,0.421133853,228,Dinosaurs,1
Barrett_etal_2014a.nex,0.434210526,0.426315789,228,Dinosaurs,1
Curry_Rogers_et_Forster_2001a.nex,0.434210526,0.389060888,228,Dinosaurs,1
Godefroit_etal_2014a.nex,0.434210526,0.423365231,228,Dinosaurs,1
Han_etal_2012a.nex,0.429824561,0.422677063,228,Dinosaurs,1
Li_etal_2021a.nex,0.434210526,0.429824561,228,Dinosaurs,1
OLeary_etal_2004aa.nex,0.447368421,0.419103314,228,Dinosaurs,1
Raven_et_Maidment_2018ad.nex,0.438596491,0.432056017,228,Dinosaurs,1
Salgado_etal_2017ab.nex,0.434210526,0.425199362,228,Dinosaurs,1
Asher_etal_2005a.nex,0.111842105,0.182275542,228,Lagomorphs,1
Rose_etal_2008a.nex,0.114035088,0.214047443,228,Lagomorphs,1
Penkrot_etal_2008aa.nex,0.154185022,0.203998645,227,Afroinsectiphilians,1
Zack_etal_2005ba.nex,0.154185022,0.203998645,227,Afroinsectiphilians,1
Breeden_et_Rowe_2020aa.nex,0.378854626,0.407753304,227,Dinosaurs,1
Breeden_et_Rowe_2020ab.nex,0.436123348,0.421128431,227,Dinosaurs,1
Butler_etal_2010a.nex,0.394273128,0.410837004,227,Dinosaurs,1
Butler_etal_2011b.nex,0.427312775,0.416515505,227,Dinosaurs,1
Longrich_etal_2011a.nex,0.592511013,0.571250718,227,Dinosaurs,1
Makovicky_etal_2011a.nex,0.4030837,0.406387665,227,Dinosaurs,1
Ruiz-Omenaca_etal_2012a.nex,0.427312775,0.414761865,227,Dinosaurs,1
Salgado_etal_2017aa.nex,0.462555066,0.434113919,227,Dinosaurs,1
Huttenlocker_etal_2013a.nex,0.251101322,0.270778267,227,Non_amniote_tetrapods,1
Olori_2015ab.nex,0.246696035,0.269227992,227,Non_amniote_tetrapods,1
Meng_etal_2003a.nex,0.13876652,0.193127753,227,Rodents,1
Evans_1988a.nex,0.446902655,0.400321802,226,Squamata,0.981818182
Field_etal_2018ad.nex,0.455555556,0.408222222,225,Dinosaurs,1
Xu_2019a.nex,0.189732143,0.19702381,224,Actinopterygians,0.95
Baiano_etal_2021a.nex,0.78125,0.649934669,224,Dinosaurs,0.975609756
Benson_2008a.nex,0.580357143,0.515306122,224,Dinosaurs,1
Bittencourt_et_Kellner_2009aa.nex,0.513392857,0.478505291,224,Dinosaurs,1
Bristowe_et_Raath_2004a.nex,0.587053571,0.521949405,224,Dinosaurs,1
Iori_etal_2021a.nex,0.794642857,0.657631803,224,Dinosaurs,1
Munter_et_Clark_2006ab.nex,0.513392857,0.501607143,224,Dinosaurs,1
Rauhut_2003a.nex,0.587053571,0.522916667,224,Dinosaurs,1
Rauhut_et_Pol_2017ac.nex,0.59375,0.528834895,224,Dinosaurs,1
Xu_etal_2006a.nex,0.558035714,0.513176843,224,Dinosaurs,1
Ibiricu_etal_2021a.nex,0.757847534,0.643261742,223,Dinosaurs,0.973684211
Novas_et_Pol_2005a.nex,0.591928251,0.533396271,223,Dinosaurs,1
Hone_etal_2020a.nex,0.571748879,0.532120724,223,Pterosaurs,0.994382022
Diaz-Berenguer_etal_2018ab.nex,0.067264574,0.073991031,223,Sirenians,1
Hwang_etal_2004a.nex,0.59009009,0.529156429,222,Dinosaurs,1
Martinelli_et_Vera_2007a.nex,0.59009009,0.532321795,222,Dinosaurs,1
Xu_et_Norell_2004a.nex,0.59009009,0.525740026,222,Dinosaurs,1
Butler_etal_2008a.nex,0.382352941,0.398583514,221,Dinosaurs,1
Norman_etal_2011a.nex,0.149321267,0.229799612,221,Dinosaurs,1
Ohashi_et_Barrett_2009a.nex,0.384615385,0.407913738,221,Dinosaurs,1
Zheng_etal_2009a.nex,0.384615385,0.403196303,221,Dinosaurs,1
Eltink_etal_2016a.nex,0.294117647,0.318250377,221,Non_amniote_tetrapods,1
Eltink_etal_2019a.nex,0.352941176,0.355264767,221,Non_amniote_tetrapods,1
Schoch_et_Sues_2018ab.nex,0.253393665,0.352625487,221,Non_squamate_lepidosaurs,1
Huang_etal_2016a.nex,0.454545455,0.408181818,220,Dinosaurs,1
Ji_etal_2003a.nex,0.595454545,0.533363636,220,Dinosaurs,1
Langer_etal_2019a.nex,0.729545455,0.618449198,220,Dinosaurs,0.970588235
Li_etal_2014a.nex,0.431818182,0.401262626,220,Dinosaurs,1
Makovicky_et_Norell_2004a.nex,0.597727273,0.533909091,220,Dinosaurs,1
Makovicky_etal_2003a.nex,0.595454545,0.533363636,220,Dinosaurs,1
Makovicky_etal_2004a.nex,0.597727273,0.533909091,220,Dinosaurs,1
Norell_et_Makovicky_2004a.nex,0.597727273,0.533909091,220,Dinosaurs,1
Poropat_etal_2020a.nex,0.759090909,0.636742424,220,Dinosaurs,1
Wang_etal_2018a.nex,0.422727273,0.408181818,220,Dinosaurs,1
Dilkes_2015a.nex,0.113636364,0.15622665,220,Non_amniote_tetrapods,1
Skutschas_et_Martin_2011a.nex,0.168181818,0.179788961,220,Non_amniote_tetrapods,1
Fernandes_etal_2022a.nex,0.575,0.581508264,220,Pterosaurs,1
Longrich_etal_2018a.nex,0.427272727,0.496694215,220,Pterosaurs,0.992424242
Wu_etal_2017a.nex,0.413636364,0.459331956,220,Pterosaurs,0.992424242
Santini_et_Tyler_2003a.nex,0.48630137,0.458667926,219,Actinopterygians,1
Sander_etal_2006ab.nex,0.497716895,0.448275862,219,Dinosaurs,1
Upchurch_1999a.nex,0.525114155,0.457925636,219,Dinosaurs,1
Asher_etal_2019a.nex,0.034246575,0.10891754,219,Meso_mammals,0.911764706
Anderson_etal_2008a.nex,0.223744292,0.229325216,219,Non_amniote_tetrapods,1
Maddin_et_Anderson_2012a.nex,0.228310502,0.232959734,219,Non_amniote_tetrapods,1
Marjanovic_et_Laurin_2009a.nex,0.223744292,0.234398782,219,Non_amniote_tetrapods,1
