datap,median,total,size,clade,numtaxa
Brocklehurst_et_Benevento_2020ab.nex,0.363086233,0.3886741,661,Meso_mammals,1
Holtz_etal_2004a.nex,0.405956113,0.436705989,638,Dinosaurs,1
Sadleir_etal_2008ab.nex,0.405956113,0.436932849,638,Dinosaurs,1
OLeary_et_Gatesy_2008a.nex,0.401574803,0.409448819,635,Cetaceans,1
Halliday_etal_inpressbb.nex,0.641955836,0.584175444,634,Meso_mammals,1
Martill_etal_2015a.nex,0.376582278,0.358729546,632,Squamata,1
Longrich_etal_2012a.nex,0.389067524,0.40092352,622,Squamata,1
Sengupta_etal_2017a.nex,0.6,0.570154025,620,Non_dinosaur_archosauro,1
Brocklehurst_etal_2015aa.nex,0.936688312,0.885002552,616,Non_saurian_diapsids,0.995633188
Gauthier_etal_2012a.nex,0.378688525,0.333025956,610,Squamata,1
OConnor_etal_inpressb.nex,0.386065574,0.352282224,610,Squamata,1
Venczel_et_Codrea_inpressa.nex,0.142622951,0.235343151,610,Squamata,1
Nesbitt_etal_2017ab.nex,0.625412541,0.568952222,606,Non_dinosaur_archosauro,1
Nesbitt_etal_2017ba.nex,0.629537954,0.570789023,606,Non_dinosaur_archosauro,1
Nesbitt_etal_2017bb.nex,0.625412541,0.568952222,606,Non_dinosaur_archosauro,1
Ezcurra_2016a.nex,0.605833333,0.560277778,600,Non_dinosaur_archosauro,1
Peecook_etal_2018ab.nex,0.628333333,0.563381877,600,Non_dinosaur_archosauro,1
Spiekman_2018a.nex,0.605833333,0.560310458,600,Non_dinosaur_archosauro,1
Kubo_etal_2023a.nex,0.63590604,0.612913775,596,Dinosaurs,1
Averianov_et_Lopatin_2022a.nex,0.616161616,0.584965598,594,Dinosaurs,1
Averianov_et_Sues_2021b.nex,0.626262626,0.593134737,594,Dinosaurs,1
Fowler_etal_2020a.nex,0.608585859,0.586419753,594,Dinosaurs,1
Lee_etal_2019b.nex,0.616161616,0.586531987,594,Dinosaurs,1
Qin_etal_2019a.nex,0.608585859,0.584780554,594,Dinosaurs,1
Xu_etal_2018c.nex,0.601010101,0.582908733,594,Dinosaurs,1
Gorscak_etal_2022a.nex,0.606473595,0.574703368,587,Dinosaurs,1
Carneiro_et_Oliveira_2017a.nex,0.556506849,0.526283551,584,Meso_mammals,1
Krajewski_etal_1992a.nex,0,0,574,Marsupials,0
Brocklehurst_etal_2013a.nex,0.873905429,0.843731422,571,Non_mammal_synapsid,0.995412844
Brocklehurst_etal_2015ab.nex,0.929947461,0.901866514,571,Non_saurian_diapsids,0.996197719
Clarke_etal_2005bb.nex,0.007017544,0.163278887,570,Bird,0.931034483
Livezey_1998ab.nex,0.022807018,0.232495301,570,Bird,0.901785714
Osi_etal_2018ab.nex,0.390350877,0.384688995,570,Non_dinosaur_archosauro,1
Cerroni_etal_2019ab.nex,0.594190141,0.566721759,568,Dinosaurs,1
Chinzorig_etal_2017a.nex,0.591549296,0.561975388,568,Dinosaurs,1
Choiniere_etal_2012a.nex,0.591549296,0.562745027,568,Dinosaurs,1
Delcourt_et_Grillo_2018ba.nex,0.568661972,0.548820423,568,Dinosaurs,1
Hattori_etal_2023a.nex,0.600352113,0.567227439,568,Dinosaurs,1
Lee_etal_2014c.nex,0.588028169,0.559374102,568,Dinosaurs,1
McFeeters_etal_2016a.nex,0.568661972,0.531433748,568,Dinosaurs,1
Samathi_etal_2021a.nex,0.568661972,0.551526984,568,Dinosaurs,1
Sayao_etal_2020a.nex,0.568661972,0.551526984,568,Dinosaurs,1
Serrano-Branas_etal_2020a.nex,0.568661972,0.533997675,568,Dinosaurs,1
Sues_et_Averianov_2016a.nex,0.566901408,0.530309307,568,Dinosaurs,1
Rauhut_etal_2019a.nex,0.630973451,0.598451327,565,Dinosaurs,1
Foth_et_Rauhut_2017a.nex,0.636363636,0.60059239,561,Dinosaurs,1
Foth_etal_2014a.nex,0.628571429,0.598322511,560,Dinosaurs,1
Mo_etal_inpressa.nex,0.740107914,0.683565647,556,Dinosaurs,1
Poropat_etal_2023a.nex,0.739208633,0.679470709,556,Dinosaurs,1
Zhou_etal_2019ab.nex,0.501798561,0.508464657,556,Meso_mammals,1
Choiniere_etal_2014a.nex,0.622522523,0.595637743,555,Dinosaurs,1
